link,hotel,price
https://www.booking.com/hotel/es/bright-and-modern-4bedroom-with-terrace-in-las-ramblas-p1.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=874022702_424713106_6_0_0&highlighted_blocks=874022702_424713106_6_0_0&matching_block_id=874022702_424713106_6_0_0&sr_pri_blocks=874022702_424713106_6_0_0__396672&from=searchresults,The Collection Barcelona - Bright and modern 4bedroom with terrace in Las Ramblas P1,"€ 3,967"
https://www.booking.com/hotel/es/cami-gallery.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=70696107_88504364_0_0_0&highlighted_blocks=70696107_88504364_0_0_0&matching_block_id=70696107_88504364_0_0_0&sr_pri_blocks=70696107_88504364_0_0_0__119700&from=searchresults,Cami Gallery Barcelona,"€ 1,197"
https://www.booking.com/hotel/es/des-artistes.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=47149107_415015342_0_0_0_782660&highlighted_blocks=47149107_415015342_0_0_0_782660&matching_block_id=47149107_415015342_0_0_0_782660&sr_pri_blocks=47149107_415015342_0_0_0_782660_69350&from=searchresults,Des Artistes,€ 694
https://www.booking.com/hotel/es/apartamento-cerca-de-playa-barcelona.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=981700201_426163220_2_0_0&highlighted_blocks=981700201_426163220_2_0_0&matching_block_id=981700201_426163220_2_0_0&sr_pri_blocks=981700201_426163220_2_0_0__111832&from=searchresults,Apartamento cerca de la playa,"€ 1,118"
https://www.booking.com/hotel/es/raval.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=1269711_95136258_2_2_0&highlighted_blocks=1269711_95136258_2_2_0&matching_block_id=1269711_95136258_2_2_0&sr_pri_blocks=1269711_95136258_2_2_0__157278&from=searchresults,Barceló Raval,"€ 1,573"
https://www.booking.com/hotel/es/allegrobarcelona.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=18997214_88405871_2_2_0&highlighted_blocks=18997214_88405871_2_2_0&matching_block_id=18997214_88405871_2_2_0&sr_pri_blocks=18997214_88405871_2_2_0__146250&from=searchresults,Allegro Barcelona,"€ 1,463"
https://www.booking.com/hotel/es/barcelona-ramblas-hostal.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=19115107_88203874_2_0_0&highlighted_blocks=19115107_88203874_2_0_0&matching_block_id=19115107_88203874_2_0_0&sr_pri_blocks=19115107_88203874_2_0_0__65000&from=searchresults,Be Ramblas Guest House,€ 650
https://www.booking.com/hotel/es/08028apartments.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=26451102_348175686_0_0_0&highlighted_blocks=26451102_348175686_0_0_0&matching_block_id=26451102_348175686_0_0_0&sr_pri_blocks=26451102_348175686_0_0_0__122361&from=searchresults,08028 Apartments,"€ 1,224"
https://www.booking.com/hotel/es/hostal-gat-raval.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=1699402_365961404_0_0_0&highlighted_blocks=1699402_365961404_0_0_0&matching_block_id=1699402_365961404_0_0_0&sr_pri_blocks=1699402_365961404_0_0_0__84974&from=searchresults,Central and Basic Universitat for YOUNG HOSTEL,€ 850
https://www.booking.com/hotel/es/hostel-new-york.html?label=gen173nr-10CAEoggI46AdIMVgEaEaIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AvH5t8sGwAIB0gIkZjA2OWVjMjctNThkYy00OGZjLTk4MmMtMGM5MjEyN2RkOGJm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-05-19&checkout=2026-05-26&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=921f44e735800b79&srepoch=1768816080&all_sr_blocks=35044305_256914435_2_0_0&highlighted_blocks=35044305_256914435_2_0_0&matching_block_id=35044305_256914435_2_0_0&sr_pri_blocks=35044305_256914435_2_0_0__61259&from=searchresults,Hostel New York,€ 613
